imagecol,imagerow,cluster.init
108,207,3
160,151,4
185,217,3
355,232,4
324,130,4
68,274,2
178,339,0
131,249,2
181,93,4
140,289,1
187,213,3
126,50,4
293,284,2
165,155,4
65,183,4
80,311,1
183,89,4
198,258,2
354,192,4
64,181,4
289,285,2
136,288,1
195,259,2
263,111,4
352,193,4
353,190,4
134,288,1
292,281,2
78,316,1
175,343,0
323,129,4
186,211,3
160,154,4
355,235,4
324,133,4
123,54,4
131,252,2
279,180,4
130,249,2
351,195,4
126,53,4
293,287,2
125,50,4
133,248,2
200,298,1
80,314,1
183,92,4
287,63,4
159,151,4
295,283,2
64,184,4
198,299,1
354,233,4
55,219,3
110,296,1
136,291,1
195,262,2
176,337,0
108,296,1
292,284,2
186,214,3
112,301,1
355,238,4
124,48,4
265,244,3
163,153,4
197,259,2
265,111,4
71,276,2
294,281,2
59,220,3
177,343,0
357,235,4
284,58,4
142,337,0
133,251,2
56,121,4
104,203,3
179,88,4
80,317,1
281,180,4
271,245,3
179,339,0
132,249,2
64,187,4
198,302,1
354,236,4
323,134,4
269,246,3
127,50,4
322,131,4
176,340,0
54,219,3
109,207,3
335,275,3
292,287,2
289,63,4
129,250,2
52,120,4
66,183,4
137,336,0
262,115,4
106,201,3
124,51,4
185,215,3
197,262,2
356,234,4
294,284,2
59,223,3
103,202,3
142,340,0
81,311,1
178,338,0
104,206,3
126,48,4
179,91,4
281,183,4
165,153,4
65,181,4
199,296,1
73,276,2
269,249,3
286,58,4
340,276,3
354,190,4
262,117,4
162,154,4
322,134,4
176,343,0
52,123,4
288,63,4
137,339,0
352,191,4
356,236,4
106,204,3
290,58,4
134,286,1
124,54,4
111,299,1
324,131,4
137,285,1
68,275,2
54,119,4
178,340,0
356,237,4
294,287,2
78,315,1
123,52,4
131,250,2
279,178,4
181,94,4
81,314,1
113,295,1
126,51,4
179,94,4
125,48,4
133,246,2
65,184,4
199,299,1
73,279,2
285,57,4
80,312,1
159,149,4
340,279,3
138,342,0
135,292,1
195,260,2
263,112,4
352,194,4
76,313,1
290,61,4
134,289,1
292,282,2
78,317,1
323,130,4
186,212,3
164,154,4
69,186,4
54,122,4
203,301,1
140,339,0
60,221,3
279,181,4
268,250,3
180,88,4
113,298,1
126,54,4
351,191,4
133,249,2
276,182,4
51,124,4
56,119,4
199,302,1
285,60,4
80,315,1
129,50,4
270,246,3
281,178,4
64,185,4
198,300,1
323,132,4
53,120,4
55,220,3
77,316,1
109,297,1
278,179,4
263,115,4
107,201,3
109,205,3
134,292,1
292,285,2
323,133,4
161,149,4
66,181,4
186,215,3
57,225,3
355,193,4
79,312,1
124,49,4
265,245,3
140,342,0
60,224,3
279,184,4
163,154,4
194,256,2
265,112,4
325,129,4
71,277,2
59,221,3
338,277,3
142,338,0
104,204,3
129,53,4
281,181,4
192,261,2
73,274,2
354,237,4
53,123,4
55,223,3
269,247,3
109,300,1
278,182,4
191,216,3
176,341,0
184,93,4
129,251,2
135,287,1
112,299,1
58,219,3
52,121,4
194,258,2
266,248,3
355,196,4
71,279,2
79,315,1
124,52,4
55,120,4
280,178,4
127,252,2
194,259,2
265,115,4
68,273,2
294,285,2
103,203,3
57,125,4
338,280,3
142,341,0
357,193,4
81,312,1
179,92,4
65,182,4
199,297,1
73,277,2
63,182,4
269,250,3
340,277,3
134,252,2
162,155,4
67,187,4
264,113,4
135,290,1
58,222,3
52,124,4
352,192,4
353,233,4
204,301,1
290,59,4
134,287,1
141,339,0
185,213,3
280,181,4
103,205,3
55,123,4
111,300,1
288,59,4
137,286,1
175,337,0
