imagecol,imagerow,cluster.init
133,102,4
234,106,4
172,290,1
162,355,0
151,102,4
127,166,3
141,167,3
137,206,2
138,281,1
95,173,3
173,282,1
138,105,4
160,356,0
160,102,4
114,219,2
249,112,4
179,352,0
159,210,2
127,288,1
146,284,1
156,365,0
252,120,4
142,209,2
124,167,3
231,108,4
138,106,4
167,359,0
260,123,4
251,117,4
160,215,2
131,108,4
132,170,3
239,111,4
157,103,4
116,215,2
176,99,4
156,366,0
211,100,4
142,210,2
152,213,2
81,181,3
171,287,1
181,290,1
254,116,4
184,102,4
233,104,4
125,293,1
186,97,4
126,164,3
168,281,1
140,103,4
129,205,2
136,204,2
169,356,0
159,99,4
194,100,4
158,362,0
136,288,1
83,177,3
93,180,3
155,284,1
118,212,2
144,207,2
196,355,0
119,166,3
102,174,3
134,288,1
129,206,2
151,281,1
159,212,2
153,285,1
141,170,3
171,352,0
206,99,4
138,284,1
127,207,2
160,359,0
105,216,2
179,355,0
156,206,2
228,103,4
159,213,2
104,170,3
127,291,1
139,171,3
130,165,3
164,104,4
123,216,2
171,353,0
236,106,4
164,355,0
189,99,4
190,350,0
191,103,4
260,126,4
251,120,4
78,176,3
133,164,3
143,167,3
157,360,0
139,206,2
176,356,0
211,103,4
124,292,1
97,173,3
113,165,3
123,168,3
166,100,4
125,212,2
161,210,2
125,296,1
173,350,0
115,216,2
126,167,3
168,284,1
140,106,4
159,356,0
170,288,1
169,359,0
136,207,2
159,102,4
188,355,0
195,354,0
106,168,3
149,100,4
125,164,3
178,353,0
118,215,2
144,210,2
126,289,1
256,125,4
145,285,1
92,174,3
105,218,2
112,217,2
142,102,4
171,355,0
178,354,0
113,221,2
96,170,3
161,99,4
160,362,0
175,292,1
146,206,2
128,285,1
258,121,4
85,177,3
104,173,3
111,172,3
130,168,3
183,103,4
218,104,4
209,98,4
124,294,1
113,167,3
131,206,2
114,214,2
180,350,0
217,101,4
143,170,3
157,363,0
140,284,1
87,173,3
166,279,1
113,168,3
177,289,1
166,103,4
192,98,4
195,356,0
202,101,4
220,100,4
161,213,2
106,170,3
263,125,4
132,165,3
116,210,2
245,117,4
151,211,2
98,168,3
126,170,3
136,210,2
155,206,2
195,357,0
253,120,4
149,279,1
106,171,3
149,103,4
232,108,4
145,204,2
175,98,4
185,355,0
185,101,4
103,171,3
126,292,1
115,165,3
168,100,4
171,283,1
247,113,4
153,207,2
112,220,2
235,107,4
226,101,4
137,169,3
237,111,4
179,286,1
121,214,2
154,366,0
96,173,3
103,172,3
161,356,0
168,101,4
234,104,4
187,351,0
187,97,4
128,288,1
122,169,3
85,180,3
151,100,4
154,283,1
141,165,3
164,286,1
224,102,4
129,109,4
258,124,4
155,104,4
137,204,2
209,101,4
147,285,1
94,174,3
120,169,3
114,217,2
192,100,4
163,361,0
159,208,2
217,104,4
169,289,1
170,97,4
153,105,4
130,284,1
124,165,3
231,106,4
138,104,4
177,292,1
192,101,4
260,121,4
149,281,1
156,280,1
132,168,3
239,109,4
175,100,4
185,103,4
116,213,2
156,364,0
211,98,4
142,208,2
141,279,1
141,103,4
100,175,3
171,285,1
182,350,0
165,358,0
214,106,4
149,282,1
89,182,3
145,207,2
179,288,1
139,280,1
103,174,3
115,168,3
129,169,3
140,101,4
134,164,3
168,103,4
171,286,1
194,98,4
125,208,2
158,360,0
265,125,4
83,175,3
154,285,1
244,113,4
144,205,2
216,102,4
134,286,1
172,291,1
157,206,2
259,118,4
151,279,1
112,169,3
224,105,4
151,103,4
238,106,4
141,168,3
147,204,2
177,98,4
118,211,2
155,361,0
137,285,1
131,166,3
209,104,4
163,280,1
173,283,1
162,97,4
160,357,0
104,217,2
114,220,2
199,102,4
159,211,2
127,289,1
88,179,3
139,169,3
140,206,2
123,214,2
218,99,4
149,209,2
148,280,1
124,168,3
231,109,4
189,351,0
162,210,2
260,124,4
156,283,1
128,105,4
229,109,4
174,350,0
239,112,4
157,358,0
157,104,4
116,216,2
201,98,4
211,101,4
124,290,1
81,182,3
178,287,1
125,210,2
132,209,2
165,361,0
160,211,2
254,117,4
161,208,2
107,168,3
90,176,3
233,105,4
109,172,3
172,351,0
125,294,1
172,97,4
186,98,4
257,125,4
126,165,3
158,279,1
140,104,4
136,205,2
194,101,4
83,178,3
118,213,2
244,116,4
134,205,2
144,208,2
143,279,1
216,105,4
92,172,3
169,98,4
134,289,1
176,292,1
259,121,4
238,109,4
178,352,0
155,364,0
196,97,4
131,169,3
173,286,1
127,208,2
141,209,2
160,360,0
246,112,4
146,204,2
85,175,3
128,107,4
181,351,0
88,182,3
130,166,3
122,288,1
218,102,4
148,283,1
189,354,0
114,169,3
133,165,3
140,164,3
240,106,4
128,108,4
193,99,4
117,210,2
124,209,2
157,361,0
165,280,1
124,293,1
113,166,3
147,105,4
143,206,2
106,217,2
132,212,2
261,119,4
150,279,1
133,287,1
263,123,4
90,179,3
233,108,4
186,101,4
151,209,2
116,165,3
223,106,4
126,168,3
130,104,4
110,213,2
159,357,0
136,208,2
138,169,3
149,101,4
185,353,0
203,98,4
134,208,2
126,290,1
92,175,3
188,97,4
153,205,2
112,218,2
225,102,4
138,204,2
178,355,0
160,279,1
96,171,3
103,170,3
205,103,4
161,354,0
168,353,0
168,99,4
187,349,0
127,211,2
128,286,1
258,122,4
85,178,3
140,166,3
111,173,3
181,354,0
154,105,4
218,105,4
209,99,4
94,172,3
120,167,3
161,355,0
158,209,2
157,280,1
240,109,4
193,102,4
157,364,0
212,98,4
94,173,3
124,296,1
137,105,4
113,169,3
248,112,4
166,358,0
143,209,2
192,353,0
192,99,4
220,101,4
133,290,1
263,126,4
156,102,4
151,212,2
141,101,4
195,98,4
159,360,0
84,175,3
126,209,2
149,104,4
145,205,2
175,99,4
203,101,4
110,171,3
126,293,1
115,166,3
129,167,3
92,178,3
158,98,4
222,107,4
171,284,1
153,208,2
152,279,1
135,287,1
161,282,1
235,108,4
137,170,3
121,215,2
160,282,1
174,283,1
103,173,3
132,104,4
128,205,2
158,99,4
168,356,0
187,352,0
93,171,3
112,167,3
128,289,1
122,170,3
224,103,4
151,101,4
154,284,1
150,209,2
180,103,4
137,283,1
94,175,3
101,174,3
120,170,3
176,288,1
114,218,2
199,100,4
163,362,0
158,212,2
129,105,4
88,177,3
240,112,4
170,352,0
242,116,4
221,104,4
137,284,1
124,166,3
148,102,4
167,98,4
174,97,4
189,349,0
177,293,1
192,356,0
250,119,4
91,176,3
156,281,1
128,103,4
229,107,4
156,105,4
239,110,4
182,100,4
81,180,3
141,104,4
167,353,0
178,285,1
167,99,4
132,207,2
109,219,2
160,209,2
131,102,4
107,166,3
84,178,3
172,349,0
126,212,2
144,171,3
145,208,2
179,289,1
175,102,4
257,123,4
139,281,1
126,296,1
139,105,4
129,170,3
165,100,4
194,353,0
194,99,4
125,209,2
153,211,2
255,123,4
265,126,4
83,176,3
161,285,1
138,164,3
244,114,4
216,103,4
101,176,3
143,101,4
134,287,1
128,208,2
176,290,1
187,355,0
136,282,1
130,212,2
93,174,3
259,119,4
112,170,3
224,106,4
238,107,4
177,353,0
147,205,2
177,99,4
155,362,0
137,286,1
144,285,1
163,281,1
173,284,1
127,206,2
246,110,4
104,218,2
199,103,4
259,120,4
181,349,0
88,180,3
139,170,3
113,212,2
249,118,4
149,210,2
148,281,1
