imagecol,imagerow,cluster.init
168,137,3
122,254,1
156,335,0
171,144,3
264,230,2
236,73,4
224,271,1
167,329,0
144,63,4
91,274,1
175,248,1
63,117,3
122,122,3
176,323,0
65,112,3
228,267,1
183,59,4
151,137,3
107,180,2
102,114,3
231,275,1
163,138,3
110,263,1
49,125,3
212,342,0
118,182,2
126,256,1
127,176,2
187,193,2
235,71,4
94,108,3
53,121,3
199,333,0
62,115,3
248,224,2
150,134,3
101,182,2
187,61,4
141,178,2
215,63,4
279,101,4
267,299,1
191,327,0
174,189,2
181,188,2
163,62,4
117,179,2
170,61,4
198,63,4
194,248,1
271,295,1
191,195,2
161,180,2
89,278,1
197,256,1
173,144,3
97,265,1
247,221,2
146,62,4
153,61,4
154,136,3
124,121,3
177,248,1
178,323,0
185,322,0
275,91,4
134,128,3
230,221,2
154,249,1
226,68,4
278,99,4
165,138,3
121,181,2
250,280,1
169,59,4
168,322,0
116,115,3
128,255,1
193,246,1
95,187,2
270,231,2
177,146,3
237,70,4
47,134,3
104,181,2
189,193,2
91,196,2
145,60,4
55,121,3
148,244,1
51,130,3
253,231,2
189,61,4
143,178,2
237,276,1
103,111,3
201,62,4
156,331,0
139,125,3
258,234,2
269,299,1
120,117,3
172,61,4
209,211,2
86,111,3
176,143,3
168,246,1
241,72,4
229,270,1
205,334,0
184,62,4
200,330,0
207,329,0
196,202,2
180,247,1
108,258,1
95,273,1
188,58,4
187,321,0
151,246,1
252,229,2
107,113,3
212,338,0
219,68,4
229,213,2
163,247,1
280,98,4
232,221,2
228,68,4
216,266,1
171,58,4
123,181,2
167,243,1
90,113,3
118,115,3
162,177,2
203,257,1
204,332,0
97,187,2
139,249,1
98,262,1
154,58,4
64,119,3
272,92,4
155,133,3
106,181,2
220,62,4
150,243,1
66,114,3
73,113,3
101,115,3
206,340,0
117,175,2
219,217,2
142,124,3
239,276,1
77,109,3
267,232,2
203,62,4
161,338,0
129,252,1
259,88,4
125,124,3
52,122,3
166,179,2
211,211,2
96,184,2
178,143,3
243,72,4
246,79,4
129,120,3
198,202,2
182,247,1
259,294,1
210,342,0
158,135,3
142,180,2
149,179,2
254,228,2
190,58,4
109,112,3
238,273,1
