imagecol,imagerow,cluster.init
281,30,5
241,139,3
305,133,4
114,14,6
131,44,6
143,226,1
236,73,4
120,297,0
90,282,0
220,118,3
123,8,6
172,241,1
248,37,5
180,55,5
321,18,6
204,80,4
139,173,2
111,36,6
118,35,6
314,41,5
207,171,2
216,44,5
317,48,5
334,78,5
208,184,2
225,38,5
119,227,1
126,226,1
203,118,3
187,163,2
172,271,1
187,80,4
305,114,4
199,44,5
264,35,5
180,119,3
284,93,4
301,123,4
75,28,6
325,65,5
102,227,1
192,83,4
127,176,2
94,284,0
171,238,1
328,73,5
305,144,4
127,10,6
154,125,3
219,116,3
179,157,2
138,170,2
150,134,3
341,50,6
181,158,2
324,20,6
110,34,6
158,229,1
316,46,5
207,182,2
327,28,6
171,268,1
202,116,3
255,159,3
97,25,6
186,161,2
303,37,5
288,95,4
210,203,2
333,44,6
81,62,6
121,283,0
185,116,3
97,55,6
133,43,6
169,161,2
145,225,1
251,36,5
243,139,3
296,161,4
307,133,4
149,36,6
76,34,6
323,18,6
182,55,5
206,80,4
290,33,5
298,169,4
251,149,3
218,44,5
234,36,5
128,225,1
96,22,6
210,184,2
213,191,2
161,161,2
105,226,1
209,200,2
189,80,4
307,114,4
273,33,5
257,78,4
182,119,3
242,136,3
210,214,2
213,221,2
213,45,5
330,72,5
307,144,4
229,127,3
156,125,3
84,31,6
168,265,1
295,172,4
149,164,2
209,181,2
160,229,1
326,57,5
99,24,6
212,189,2
112,281,0
108,18,6
213,202,2
205,45,5
167,232,1
301,138,4
110,19,6
108,228,1
209,211,2
110,223,1
86,287,0
119,13,6
168,246,1
99,54,6
171,253,1
95,281,0
253,36,5
330,83,5
118,310,0
248,146,3
297,98,4
228,125,3
151,36,6
103,50,6
184,54,5
322,47,5
297,177,4
227,42,5
328,25,6
208,117,3
256,212,3
192,162,2
329,38,6
236,36,5
195,49,5
98,22,6
127,172,2
215,191,2
204,43,5
240,32,5
167,243,1
118,291,0
231,76,4
191,117,3
175,162,2
178,49,5
159,124,3
244,136,3
297,158,4
247,143,3
215,221,2
296,34,5
183,52,5
167,273,1
207,77,4
214,76,4
86,31,6
158,162,2
325,28,6
129,222,1
276,88,4
82,65,6
236,130,3
162,158,2
272,35,5
214,189,2
279,34,5
324,66,5
331,65,5
263,79,4
197,76,4
117,288,0
215,202,2
303,138,4
121,12,6
138,42,6
211,211,2
295,102,4
306,146,4
340,51,6
173,253,1
97,281,0
246,79,4
300,160,4
294,174,4
230,124,3
302,155,4
148,166,2
332,83,5
169,262,1
299,98,4
121,42,6
324,47,5
133,224,1
302,106,4
286,89,4
303,119,4
210,117,3
194,162,2
108,33,6
331,38,6
197,49,5
194,79,4
197,170,2
206,43,5
104,42,6
116,224,1
233,75,4
291,92,4
117,299,0
302,136,4
169,243,1
318,41,5
303,149,4
152,130,3
177,162,2
161,124,3
249,143,3
253,213,3
156,234,1
173,264,1
117,32,6
99,224,1
216,75,4
250,156,3
200,120,3
95,29,6
298,34,5
253,164,3
209,114,3
160,162,2
104,23,6
257,209,3
161,237,1
330,35,6
256,172,3
123,279,0
257,160,3
164,158,2
95,59,6
281,34,5
265,79,4
119,288,0
192,114,3
253,194,3
176,159,2
120,301,0
122,296,0
123,12,6
140,42,6
147,41,6
321,22,6
83,32,6
155,231,1
106,279,0
253,145,3
257,190,3
297,31,5
232,124,3
225,42,5
232,41,5
159,159,2
74,68,6
304,105,4
235,132,3
211,196,2
123,42,6
135,224,1
253,175,3
196,78,4
280,31,5
180,123,3
199,169,2
208,42,5
215,41,5
333,75,5
123,290,0
304,135,4
106,42,6
118,224,1
305,148,4
219,120,3
296,99,4
122,10,6
219,37,5
320,41,5
174,250,1
163,123,3
247,76,4
323,49,5
182,86,4
78,70,6
207,186,2
324,62,5
101,224,1
171,272,1
218,75,4
301,108,4
174,118,3
202,120,3
193,164,2
170,235,1
186,82,4
304,116,4
106,23,6
137,167,2
332,35,6
312,35,5
195,76,4
101,50,6
203,171,2
333,48,6
117,17,6
185,120,3
80,29,6
255,193,3
97,59,6
319,26,6
336,56,6
93,286,0
304,146,4
89,23,6
149,40,6
295,35,5
251,78,4
255,144,3
292,174,4
162,121,3
323,22,6
320,52,5
157,231,1
174,261,1
271,29,5
234,40,5
96,26,6
299,31,5
323,60,5
254,161,3
105,20,6
137,223,1
