imagecol,imagerow,cluster.init
217,331,2
62,70,5
188,257,1
46,115,4
310,241,4
66,53,6
74,34,6
98,59,5
79,217,1
213,340,2
183,284,1
95,89,4
58,79,5
107,312,0
79,134,3
50,302,0
103,159,2
301,276,4
144,63,4
107,53,5
108,325,0
102,339,0
83,34,6
343,255,5
82,163,2
59,302,0
172,320,1
69,95,4
94,127,3
120,30,6
78,172,2
309,208,4
318,40,6
276,223,3
65,104,4
107,342,0
248,243,2
304,235,4
63,230,1
65,21,6
304,18,6
114,78,4
63,147,3
74,98,4
50,162,3
98,123,3
277,237,3
34,207,2
54,56,6
244,252,2
183,265,1
42,302,0
174,350,1
59,156,3
75,28,6
301,257,4
74,225,1
260,286,3
216,329,2
276,253,3
227,301,2
38,311,0
268,273,3
304,265,4
65,51,6
271,280,3
49,117,4
114,25,6
89,218,1
264,282,3
61,81,5
183,295,1
66,181,2
36,170,3
301,287,4
66,98,4
340,271,5
348,252,5
280,225,3
32,179,3
297,296,4
109,206,1
78,62,5
53,234,1
247,240,2
64,299,0
24,319,0
42,65,6
49,64,6
102,208,1
130,43,5
276,234,3
348,203,5
56,180,2
307,20,6
235,269,2
271,261,3
222,309,2
93,34,6
238,276,2
68,144,3
53,60,6
52,189,2
218,318,2
345,225,5
64,153,3
37,247,1
101,80,4
64,70,5
48,115,4
72,140,3
88,132,3
348,233,5
76,34,6
33,256,1
215,340,2
146,62,4
60,79,5
33,173,3
81,134,3
84,141,3
303,276,4
84,58,5
238,257,2
117,77,4
340,282,5
177,327,1
347,200,5
247,251,2
129,41,5
80,89,4
221,306,2
312,221,4
104,151,2
306,235,4
133,24,6
91,166,2
306,18,6
132,70,4
91,83,4
348,214,5
307,31,6
52,79,5
100,160,2
251,313,3
44,302,0
27,251,1
303,257,4
64,43,6
67,50,6
40,311,0
136,66,4
96,86,4
306,265,4
113,54,5
342,257,5
177,308,1
109,322,0
103,336,0
123,140,2
84,31,6
96,213,1
302,274,4
119,32,6
172,335,1
51,306,0
306,216,4
309,223,4
87,60,5
168,344,1
347,266,5
269,265,3
111,206,1
55,234,1
249,240,2
188,253,1
26,319,0
58,158,3
132,43,5
120,200,1
139,42,5
265,274,3
92,63,5
221,317,2
306,246,4
273,261,3
253,302,3
220,317,2
103,317,0
46,307,0
103,58,5
256,310,3
63,99,4
50,114,4
120,26,6
63,16,6
71,169,2
276,219,3
264,297,3
90,215,1
127,142,2
42,171,3
171,332,1
90,132,3
74,177,2
118,51,5
77,64,5
103,347,0
341,268,5
59,235,1
86,58,5
65,296,0
50,61,6
240,257,2
276,249,3
227,297,2
110,204,1
30,321,0
119,77,4
122,47,5
99,35,6
308,17,6
229,292,2
131,41,5
223,306,2
34,316,0
106,151,2
344,227,5
69,141,3
264,278,3
341,298,5
53,186,2
93,83,4
345,240,5
73,41,6
63,72,5
70,71,5
312,38,6
38,244,1
45,243,1
220,328,2
54,116,4
32,258,1
214,342,2
65,67,5
82,35,6
94,217,1
69,50,6
126,140,2
34,170,3
115,54,5
344,257,5
134,16,6
316,34,6
150,67,4
345,270,5
86,31,6
37,199,2
68,223,1
130,25,6
170,343,1
344,208,5
341,279,5
311,223,4
64,232,1
345,221,5
182,266,1
64,149,3
73,22,6
305,20,6
41,195,2
48,194,2
300,258,4
73,226,1
66,144,3
73,143,3
60,158,3
308,245,4
308,28,6
60,75,5
179,288,1
84,220,1
186,262,1
52,298,0
223,317,2
39,313,0
307,208,4
344,238,5
72,39,6
77,222,1
105,57,5
48,307,0
80,168,2
311,204,4
278,219,3
295,315,4
179,318,1
173,332,1
105,346,0
89,162,2
76,94,4
88,57,5
169,341,1
262,281,3
112,203,1
121,76,4
128,75,4
112,120,3
72,20,6
108,33,6
52,61,6
258,290,3
140,39,5
101,35,6
108,150,2
267,284,3
295,296,4
257,307,3
121,23,6
314,38,6
291,305,4
79,165,2
47,243,1
241,249,2
56,116,4
107,84,4
27,176,3
128,139,2
91,129,3
117,32,6
237,258,2
43,169,3
278,230,3
95,29,6
124,148,2
92,59,5
51,239,1
245,245,2
22,324,0
346,207,5
267,265,3
116,205,1
234,280,2
228,294,2
63,178,2
262,292,3
50,193,2
100,32,6
75,142,3
59,187,2
107,148,2
258,301,3
62,74,5
252,315,3
59,104,4
54,297,0
46,119,4
310,245,4
346,237,5
310,28,6
99,205,1
108,78,4
74,38,6
71,68,5
86,220,1
313,35,6
58,83,5
79,138,3
50,306,0
83,32,6
95,214,1
95,131,3
343,259,5
314,49,6
126,20,6
342,197,5
346,267,5
70,23,6
229,288,2
78,93,4
187,254,1
107,346,0
53,182,2
305,246,4
304,22,6
225,297,2
87,87,4
219,311,2
65,229,1
106,309,0
346,218,5
102,156,2
343,289,5
65,146,3
184,276,1
228,305,2
111,150,2
342,227,5
77,27,6
34,249,1
179,303,1
216,333,2
98,82,4
139,69,4
309,25,6
71,41,6
308,205,4
65,55,6
150,63,4
175,312,1
219,341,2
346,248,5
309,193,4
130,21,6
49,242,1
49,159,3
178,320,1
97,120,3
305,227,4
33,204,2
81,165,2
293,305,4
243,249,2
272,242,3
45,168,3
174,329,1
300,254,4
337,284,5
184,257,1
60,237,1
239,258,2
37,308,0
102,299,0
175,342,1
24,323,0
77,91,4
94,59,5
276,238,3
62,232,1
227,286,2
263,278,3
33,317,0
129,72,4
272,272,3
41,304,0
300,284,4
178,301,1
80,29,6
260,301,3
296,293,4
64,74,5
61,104,4
56,297,0
39,246,1
48,119,4
348,237,5
39,163,3
101,205,1
73,68,5
80,67,5
315,35,6
175,323,1
242,246,2
57,113,4
169,337,1
97,214,1
125,49,5
84,62,5
97,131,3
339,273,5
243,260,2
272,253,3
48,66,6
129,45,5
117,202,1
136,44,5
189,254,1
55,182,2
306,22,6
263,289,3
257,303,3
348,218,5
113,149,2
64,176,2
40,240,1
251,317,3
51,191,2
259,298,3
100,81,4
28,179,3
307,197,4
347,234,5
298,282,4
36,249,1
218,333,2
52,121,4
109,75,4
108,338,0
124,144,2
310,205,4
342,261,5
152,63,4
177,312,1
132,21,6
307,227,4
35,204,2
75,221,1
347,264,5
230,285,2
217,325,2
168,348,1
104,298,0
339,284,5
44,198,2
269,269,3
342,291,5
71,230,1
226,294,2
213,334,2
26,323,0
71,147,3
107,306,0
347,215,5
103,153,2
254,306,3
265,278,3
184,291,1
221,321,2
108,319,0
131,72,4
342,242,5
83,28,6
88,211,1
111,30,6
67,73,5
59,296,0
180,300,1
104,328,0
116,47,5
256,314,3
63,103,4
63,20,6
281,222,3
274,223,3
298,293,4
347,245,5
122,25,6
248,237,2
171,336,1
87,166,2
50,156,3
342,272,5
122,142,2
131,19,6
34,201,2
244,246,2
183,259,1
114,199,1
172,350,1
74,219,1
108,300,0
232,274,2
83,92,4
86,62,5
38,305,0
63,50,6
309,238,4
274,253,3
309,21,6
268,267,3
110,208,1
95,56,5
180,281,1
235,282,2
269,280,3
59,59,6
256,295,3
119,202,1
264,276,3
183,289,1
115,32,6
66,175,2
265,289,3
115,149,2
81,26,6
45,247,1
180,311,1
30,179,3
93,125,3
62,18,6
77,170,2
111,75,4
118,74,4
176,320,1
102,119,3
126,144,2
