,L1_L2,L2_L3,L3_L4,L4_L5,L5_L6,L6_WM,is_man_gene
MIR1302-2HG,,,0.03311934558239565,0.0789050847132248,,,False
FAM138A,,,,,,,False
OR4F5,,,,,,,False
AL627309.1,0.33618924706250664,0.1279973393751454,0.1576900331232066,0.42093001635108707,0.5473951159235773,0.39849774908336877,False
AL627309.3,,,,,,,False
AL627309.2,,,,,,,False
AL627309.4,,,,,,,False
AL732372.1,,,,,,,False
OR4F29,,,,,,,False
AC114498.1,,,,,,,False
OR4F16,,,,,,,False
AL669831.2,,,,,,,False
AL669831.5,0.007354437889761267,0.9892444043065082,0.5805492943998734,0.8549102306216299,0.3107606625125802,0.14081703445067892,False
FAM87B,,0.6132070762764592,0.6389098972484948,,,,False
LINC00115,0.29935249078555415,0.6888225292363055,0.6091038905974617,0.23429582444701647,0.5473951105403967,0.8318004547925136,False
FAM41C,0.29935249078555415,0.2542380961145807,0.10231519930993764,0.42092999813452237,0.6770260748478736,0.1425162561968449,False
AL645608.7,,,,,,,False
AL645608.3,,,,,,,False
AL645608.5,,,,,,,False
AL645608.1,0.5195049731286507,0.1407788059742724,0.5067621307853205,0.3239709192365934,0.3036185635910682,0.04297733560027082,False
SAMD11,0.17320351381572185,0.31135492217930216,0.9101855155758387,0.9801961184044058,0.5033625477813135,0.000796379682648249,False
NOC2L,8.527832347554742e-05,0.40798642451458944,0.8397208589772018,0.5016092592141215,0.004819226430852392,0.011786791290070583,False
KLHL17,0.002501862432693056,0.14855199640048608,0.6088266265761371,0.4594183186508123,0.015859829854874847,0.2767863680648102,False
PLEKHN1,,,,0.5695501730567416,0.3107492714729213,,False
PERM1,0.29935249078555415,0.04798447505224286,0.03311934558239565,0.9801961176264322,0.3036185635910682,0.39849774908336877,False
AL645608.8,0.6085307404116742,0.3361894973401054,0.415790869853782,0.3494307245004509,0.37568755851579294,0.4528459818032874,False
HES4,0.003500907654273753,0.18407089736492196,0.005624410331475515,0.24211993951049765,0.0001396351861067315,0.049618910222884435,False
ISG15,0.1312013588855783,0.20982304916961095,0.30945868699038737,0.3760219277588521,0.8379055340897605,0.0034789775040552987,False
AL645608.2,,,,,,,False
AGRN,5.785164170893462e-06,0.4618196244459696,0.09412402989413453,0.8333545933281892,0.04050748051053655,0.7285872379186908,False
AL645608.9,,,,,,,False
RNF223,,0.6132070762764592,0.6389098972484948,0.3239709445704919,0.07880736129334677,0.2456275790145322,False
