,L1_L2,L2_L3,L3_L4,L4_L5,L5_L6,L6_WM,is_man_gene
MIR1302-2HG,,,0.0530583229489642,0.49958655318638434,0.32025083325388226,0.32180426724937844,False
FAM138A,,,,,,,False
OR4F5,,,,,,,False
AL627309.1,0.19299635917831248,0.5235769643389276,0.6140894958856608,0.2410370283145954,0.08477127233806796,0.32180426724937844,False
AL627309.3,,,,,,,False
AL627309.2,,,,,,,False
AL627309.4,,,,,,,False
AL732372.1,,,,,,,False
OR4F29,,,,,,,False
AC114498.1,,,,,,,False
OR4F16,,,,,,,False
AL669831.2,,,,,,,False
AL669831.5,0.07695940343398912,0.1262995743997535,0.13683239468738947,0.949706306361034,0.007657415264780414,0.9621365687618068,False
FAM87B,,,0.0530583229489642,0.11287734012723498,,,False
LINC00115,0.06521096468512566,0.9110168281454337,0.3882672067686128,0.8514453719971752,0.6452420996779127,0.494222035359847,False
FAM41C,0.19299640554468295,0.5235769491778851,0.46163392687652527,0.8781354387782345,0.19802143929306482,0.3485478316195383,False
AL645608.7,,,,,,,False
AL645608.3,,,,,,,False
AL645608.5,,,,,,,False
AL645608.1,0.18307273277670125,0.4862833506593368,0.46471041583958106,0.27437338126370864,0.46854641693455124,0.2622461679120656,False
SAMD11,0.2988193313565549,0.32636908666427245,0.5947236787464684,0.852472807888589,0.6312316648848542,0.04368679006390282,False
NOC2L,1.068588515795227e-07,0.4799496754795348,0.1576427799865578,0.10710015968695275,0.00039035042091249884,0.5765052285222596,False
KLHL17,0.008529310036443112,0.9346258066270798,0.9466387397653019,0.34839044879516534,0.21979525588336446,0.03150971439145632,False
PLEKHN1,0.4430790736530349,0.4862833506593368,0.46471041583958106,,0.08127709384927036,0.6400866414953122,False
PERM1,0.2884044407940962,0.0040167407553491335,,0.3724730316864524,0.6452420807373274,0.08030285920413961,False
AL645608.8,0.11562659120301827,0.8451635155126564,0.03224948621569008,0.012852076765248303,0.5991687737538677,0.1540227334742057,False
HES4,1.2852622232262875e-06,0.5398331876083904,0.2405904729291126,0.8252286939150097,0.00024988319426649347,0.02816166056940241,False
ISG15,0.21997579468478015,0.09135532388735039,0.14391177727463839,0.4296485794546433,0.7533015899621587,8.688856932858205e-07,False
AL645608.2,,,0.0530583229489642,0.11287734012723498,,,False
AGRN,3.688043210813569e-08,0.7651933420121013,0.04507809779108067,0.6051687291689962,3.963888777552693e-06,0.011129423143363773,False
AL645608.9,,,,,,,False
RNF223,,0.6226699782472795,0.6053488217659019,,0.31476266151965326,0.3255725176644958,False
C1orf159,0.1657625308566266,0.17739383181225127,0.8590794831631359,0.8516657508611046,0.023622422040765558,0.1270951783435577,False
LINC01342,,,0.0530583229489642,0.11287734012723498,0.15486733836338548,0.9858241507765588,False
AL390719.2,0.24043478343178426,0.2472870178037538,0.8249922900268872,0.17525073210147948,0.725378831780158,0.041201453465146885,False
TTLL10-AS1,,,,,,,False
TTLL10,,,,,,,False
TNFRSF18,0.026176988123068,0.8669437973924075,0.08099959120217556,0.017281424584073963,0.4540371071718998,0.5567722654700005,False
TNFRSF4,0.7943593091135582,0.8788924086672403,0.9299228568303326,0.916007682410201,0.010616751532713384,0.15241554890809583,False
SDF4,5.597142404157563e-14,0.18830855065160887,0.45605827625794526,0.3062637099567057,0.0010658875139612197,0.03261077331477941,False
B3GALT6,5.718281635201785e-07,0.920087997150719,0.057399222407834405,0.04048245418836632,8.635544243083166e-05,0.8864989327934084,False
C1QTNF12,,0.249869755174404,0.9400067195505355,0.5666686302858196,0.6938035328237209,0.6875256484347616,False
AL162741.1,,,,,,,False
UBE2J2,3.256706023817617e-08,0.24162408669752533,0.5131140070862891,0.791695791317819,0.0050158820931762845,0.6562099154454245,False
LINC01786,,,,,,,False
SCNN1D,6.28973216894684e-05,0.01931950956756725,0.4439249616793848,0.5981910175743166,0.16863290252383312,0.9648552180896859,False
ACAP3,2.960503709331981e-15,0.2304431336181381,0.15432330316384285,0.5755615323108835,0.00013332596882969778,0.80844793375133,False
PUSL1,0.020844792800504292,0.35231270841518403,0.39146858530897555,0.43633756008670466,0.7421443987383669,0.5251763057816266,False
INTS11,8.72053609922303e-10,0.45230194247780386,0.2932134565438093,0.5067538247920158,0.0031500570775574144,0.0588548433983204,False
CPTP,2.102622397724891e-06,0.3173846459634888,0.15598388418698136,0.716463371935288,0.06870131787313871,0.14512747769695805,False
TAS1R3,0.2884044407940962,0.03908355414138963,0.605348841166802,0.3724730316864524,0.570242491124793,0.3255725176644958,False
DVL1,9.939891507890626e-10,0.7525824690491234,0.08909883649212921,0.4948893300068756,0.19806592395368744,0.6042502907763698,False
MXRA8,0.13655386479389844,0.15914596072981985,0.6523947262023522,0.23183376031484024,0.04866081718304669,0.08847298123626929,False
AURKAIP1,2.741365849329658e-16,0.777002179989133,0.7483170903177105,0.8577379272784502,2.0921407484417407e-20,0.12492782721883089,False
CCNL2,2.085346384027332e-09,0.8556305758068237,0.21877058843992542,0.05608059266897878,9.285147883636022e-08,0.0009942944881298486,False
MRPL20,1.7185447012063234e-13,0.15753526391231396,0.14710821009287145,0.4306655877908452,5.305287028130472e-08,0.29962438480005166,False
AL391244.3,,0.2269406710342277,0.7860001308495219,0.827934607361476,0.1609470374902342,0.2658146179596404,False
ANKRD65,6.55910595758951e-07,0.07691949943523131,0.8398238780365735,0.7036472164126493,0.09086729455534925,0.9025642492470358,False
AL391244.2,,,,,,,False
TMEM88B,,0.6226699034209389,0.6053487441622722,,,0.08577593821127122,False
LINC01770,,,,0.5285655766459464,0.5569772658529442,0.9858241507765588,False
VWA1,0.0004357607808867944,0.5056527815595292,0.34440390882599103,0.6337780402105151,0.37250599295065523,8.804917325883397e-33,False
ATAD3C,0.49729691808441834,0.12553644062336383,0.316637352875133,0.7416778130837495,0.5935973653500385,0.16723396547487346,False
ATAD3B,0.0017821076075054357,0.548450586872296,0.8521147907285397,0.40379019934818694,0.1021610213040715,0.15220438058163943,False
ATAD3A,0.009564603852193987,0.982290682500176,0.6021807708827587,0.6623092086165778,0.12168524863824555,0.8315297939496451,False
TMEM240,0.8133479967523212,0.441561102062061,0.34743852118042007,0.512256784358377,0.822643183047104,0.8992381554168546,False
SSU72,1.6235970774341969e-15,0.24131169529767804,0.6136466813990146,0.13507553615958903,4.918406375853645e-13,0.011426610256552018,False
AL645728.1,0.209565540452511,0.11288747506802174,0.2682921645712978,0.31551512472161547,0.2108556631132478,0.982624633228895,False
FNDC10,4.364589734130984e-06,0.11212616482607853,0.0562841956131931,0.0022660673808440027,3.288386814348243e-05,0.007076415519376387,False
AL691432.2,2.8333852102360073e-06,0.2873511209822358,0.018313233395818865,0.15601806036115243,0.12476583232016579,0.5535537833119328,False
MIB2,7.054892294992704e-06,0.7172413912472368,0.8720470711837293,0.020911614158407626,0.014799659132489417,0.32156829091765066,False
MMP23B,0.13210730042195776,0.5773616169823962,0.5303445689464403,0.2931335285152155,0.5040704330442582,0.9715140981801625,False
CDK11B,0.00031272457640517116,0.9244080375012125,0.5403084079583454,0.05489466757038423,0.6838979109533654,0.019755429478953007,False
FO704657.1,,0.39359024966622613,0.848012846778571,0.6747059812655201,0.04642501873155488,0.014924927182954255,False
SLC35E2B,0.045433768030809,0.07528279430998444,0.7579226197233907,0.3287114756395042,0.0022934208521569383,0.45016256091046725,False
CDK11A,0.39476428773399064,0.4509219975183374,0.7259937516965307,0.5695045383963838,0.5489379872522981,0.541514383760393,False
SLC35E2A,0.0007833401040291878,0.06520515924503689,0.837351840856437,0.4890723048166562,0.0026153021582242483,0.08891901193647134,False
NADK,3.4317152970945315e-05,0.528288532330963,0.2040219017162638,0.27278654080838094,0.14823439679309955,0.5477667189737856,False
GNB1,4.000796497910251e-33,0.3206844544300813,0.6711509721144882,0.9461625440499656,1.8961939685658435e-25,3.2320147735005374e-06,False
AL109917.1,0.09248455212239086,0.42160781421228244,0.8601980562896687,0.2410370578262145,0.04862287266036415,0.09988395375936594,False
CALML6,,0.6226699595406984,0.6053488023649988,,,,False
TMEM52,0.9805749886962917,0.7590531175425854,0.643058860974434,0.9303343013753217,0.059216940390049475,0.9858241507765588,False
CFAP74,0.04599389682154509,0.2557129986531027,0.39668190014348115,0.36263165951690657,0.05351523265332008,0.08030285920413961,False
AL391845.2,0.06521096468512566,0.6199041575366168,0.5303445689464403,0.7907711319319158,0.4214701858966492,0.9858241507765588,False
GABRD,1.502869697332797e-25,0.11661239707230954,0.04292521686500905,0.00026574503804156616,1.7180915925037151e-15,8.832554923989862e-13,False
AL391845.1,,,,,,,False
PRKCZ,4.614897601232816e-19,0.2853412355750548,0.8972623690359982,0.485787885381434,1.8855042071126567e-15,3.9949071767392715e-05,False
AL590822.2,0.19299635917831248,0.27658224145133886,0.6053488023649988,0.5285655617472308,0.3202508507392386,,False
PRKCZ-AS1,0.7054645519481907,0.7816710283515041,0.37032702123978,0.5285655617472308,0.3202508507392386,0.32180426724937844,False
FAAP20,1.2571699882213466e-07,0.05160807137954409,0.35467935646208104,0.46229970869251,0.00015759307014886069,0.46307606630205544,False
AL590822.1,,,,,0.31476266151965326,0.31320787933569727,False
SKI,5.980721234203738e-07,0.578188739583494,0.8395067141364793,0.9386689274813849,0.0019702519992161826,0.99878915150447,False
MORN1,0.03750498963407683,0.9703091109090612,0.9689139063691365,0.40866903502764773,0.1346397537133927,0.6726141576044892,False
RER1,5.939529839532118e-13,0.3477787673926477,0.8556660298312494,0.5659255667736244,0.00023560902047494166,0.015016661669310228,False
PEX10,0.010583456422861444,0.4707943078995843,0.5587157770361394,0.6002512385473464,0.0003478353889138544,0.05030170802586276,False
PLCH2,1.730456204969849e-05,0.5919007685355882,0.17777958722427167,0.12973652659955584,0.1378248300457789,0.24346030267078195,False
AL139246.1,,0.3935902836524523,0.37032705561846024,,0.3147626960961606,0.3132079139106218,False
AL139246.4,,,,,,,False
PANK4,0.003154121427762214,0.8750278936758344,0.4375557221043237,0.6052311266351055,0.07246472832205987,0.0835245886873082,False
HES5,0.006210107192903165,0.47965867578179644,0.5633130873588135,0.731886076490963,0.04695930831799936,0.08204849674218177,False
AL139246.5,0.002161188705148102,0.10673003322162891,0.9915757493884922,0.3109669083679272,0.21478760695497912,0.8001033440182693,False
TNFRSF14-AS1,0.4430790534892276,0.3243361272616688,0.044370849966548484,0.28579165058924466,0.10473808034393298,0.1856200239616388,False
TNFRSF14,0.0002157915975176626,0.5351986994874838,0.55167926573748,0.2223838713106497,0.0009603100573294488,0.5591648938187628,False
AL139246.3,,,0.0015485159234859634,0.030532773412478214,0.32025086822459337,0.32180426724937844,False
FAM213B,8.083596593257447e-05,0.293713431465381,0.7833774782940848,0.2097107186166173,0.002193621295708078,0.0014129413259497882,False
MMEL1,0.7237496455558924,0.03656420432044816,0.34526048368901396,0.34543395366059937,0.1894445626678675,0.9648950837753562,False
AL831784.1,,,,,,0.32180426724937844,False
TTC34,0.1929964287278658,0.5235769515928228,0.15128140056830916,0.24835997729916995,0.5375859938034562,0.4011410790348374,False
AC242022.1,,,,,,,False
AL592464.2,,,,,,,False
AL592464.1,,,,,,,False
AL589702.1,,,,,,,False
ACTRT2,,,,,,,False
